transaction_id,amount,failure_type,recovery_probability,action,approved,reason,customer_message,timestamp,attempt_number,retry_count,amount_recovered
,100.0,NETWORK_ERROR,0.7411,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.006960,,,
,100.0,TIMEOUT,0.8405,RETRY,True,High recovery probability and temporary payment failure,Your payment of ₹100.00 could not be completed due to a temporary issue. We will safely retry the payment.,2026-08-31 14:12:02.024584,,,
,100.0,NETWORK_ERROR,0.6693,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.043784,,,
,100.0,TIMEOUT,0.6336,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.059834,,,
,100.0,NETWORK_ERROR,0.7934,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.076245,,,
,2622.65,NETWORK_ERROR,0.7621,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,"Your payment of ₹2,622.65 is still pending. Please use the secure payment link to complete your transaction.",2026-08-31 14:12:02.091640,,,
,100.0,LIMIT_EXCEEDED,0.4712,ESCALATE,False,Low recovery probability; automatic recovery avoided,We couldn't safely complete your payment automatically. Our support team will review the issue.,2026-08-31 14:12:02.109793,,,
,100.0,NETWORK_ERROR,0.4765,ESCALATE,False,Low recovery probability; automatic recovery avoided,We couldn't safely complete your payment automatically. Our support team will review the issue.,2026-08-31 14:12:02.123808,,,
,100.0,BANK_DECLINED,0.3101,ESCALATE,False,Low recovery probability; automatic recovery avoided,We couldn't safely complete your payment automatically. Our support team will review the issue.,2026-08-31 14:12:02.131722,,,
,100.0,CARD_EXPIRED,0.8103,UPDATE_CARD,True,Payment method requires customer update,Your saved payment method appears to have expired. Please update your payment details to complete the transaction.,2026-08-31 14:12:02.149779,,,
,100.0,INSUFFICIENT_FUNDS,0.6453,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.165992,,,
,100.0,INSUFFICIENT_FUNDS,0.5547,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.179755,,,
,100.0,TIMEOUT,0.6885,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.194270,,,
,100.0,NETWORK_ERROR,0.5832,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.200653,,,
,100.0,INSUFFICIENT_FUNDS,0.5736,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.211672,,,
,100.0,CARD_EXPIRED,0.6545,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.219671,,,
,100.0,INSUFFICIENT_FUNDS,0.7731,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.227717,,,
,100.0,UNKNOWN_ERROR,0.2205,ESCALATE,False,Low recovery probability; automatic recovery avoided,We couldn't safely complete your payment automatically. Our support team will review the issue.,2026-08-31 14:12:02.235688,,,
,100.0,CARD_EXPIRED,0.7989,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.243509,,,
,100.0,CARD_EXPIRED,0.67,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.249635,,,
,100.0,CARD_EXPIRED,0.7325,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.259285,,,
,100.0,INSUFFICIENT_FUNDS,0.6702,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.271327,,,
,100.0,INSUFFICIENT_FUNDS,0.2133,ESCALATE,False,Low recovery probability; automatic recovery avoided,We couldn't safely complete your payment automatically. Our support team will review the issue.,2026-08-31 14:12:02.278649,,,
,100.0,BANK_DECLINED,0.5898,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.286510,,,
,100.0,INSUFFICIENT_FUNDS,0.6431,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.295363,,,
,100.0,NETWORK_ERROR,0.8175,RETRY,True,High recovery probability and temporary payment failure,Your payment of ₹100.00 could not be completed due to a temporary issue. We will safely retry the payment.,2026-08-31 14:12:02.301844,,,
,100.0,INSUFFICIENT_FUNDS,0.759,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.308622,,,
,100.0,NETWORK_ERROR,0.6978,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.316685,,,
,100.0,TIMEOUT,0.8044,RETRY,True,High recovery probability and temporary payment failure,Your payment of ₹100.00 could not be completed due to a temporary issue. We will safely retry the payment.,2026-08-31 14:12:02.324738,,,
,100.0,LIMIT_EXCEEDED,0.2646,ESCALATE,False,Low recovery probability; automatic recovery avoided,We couldn't safely complete your payment automatically. Our support team will review the issue.,2026-08-31 14:12:02.332653,,,
,127.01,TIMEOUT,0.8383,RETRY,True,High recovery probability and temporary payment failure,Your payment of ₹127.01 could not be completed due to a temporary issue. We will safely retry the payment.,2026-08-31 14:12:02.342943,,,
,100.0,INSUFFICIENT_FUNDS,0.5273,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.359111,,,
,100.0,NETWORK_ERROR,0.7899,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.372857,,,
,100.0,NETWORK_ERROR,0.7464,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.387951,,,
,100.0,INSUFFICIENT_FUNDS,0.7533,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.398962,,,
,100.0,CARD_EXPIRED,0.48,ESCALATE,False,Low recovery probability; automatic recovery avoided,We couldn't safely complete your payment automatically. Our support team will review the issue.,2026-08-31 14:12:02.405410,,,
,100.0,INSUFFICIENT_FUNDS,0.6227,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.411599,,,
,100.0,TIMEOUT,0.5494,PAYMENT_LINK,True,Moderate recovery probability; customer-initiated payment preferred,Your payment of ₹100.00 is still pending. Please use the secure payment link to complete your transaction.,2026-08-31 14:12:02.418431,,,
,100.0,NETWORK_ERROR,0.4967,ESCALATE,False,Low recovery probability; automatic recovery avoided,We couldn't safely complete your payment automatically. Our support team will review the issue.,2026-08-31 14:12:02.437117,,,
