transaction_id,intervention,recovered,amount_recovered,recovery_time_hours
TXN000001,REMINDER,1,100.0,8.0
TXN000002,PAYMENT_LINK,1,100.0,34.0
TXN000003,PAYMENT_LINK,1,100.0,59.0
TXN000004,RETRY,1,100.0,18.0
TXN000005,PAYMENT_LINK,0,0.0,
TXN000006,RETRY,1,100.0,27.0
TXN000007,PAYMENT_LINK,0,0.0,
TXN000008,PAYMENT_LINK,1,100.0,10.0
TXN000009,RETRY,1,100.0,22.0
TXN000010,PAYMENT_LINK,1,100.0,16.0
TXN000011,RETRY,1,100.0,12.0
TXN000012,PAYMENT_LINK,0,0.0,
TXN000013,PAYMENT_LINK,1,100.0,1.0
TXN000014,UPDATE_CARD,0,0.0,
TXN000015,RETRY,1,100.0,67.0
TXN000016,RETRY,1,100.0,12.0
TXN000017,PAYMENT_LINK,1,100.0,30.0
TXN000018,RETRY,0,0.0,
TXN000019,UPDATE_CARD,0,0.0,
TXN000020,PAYMENT_LINK,1,100.0,61.0
TXN000021,UPDATE_CARD,1,100.0,54.0
TXN000022,PAYMENT_LINK,1,100.0,37.0
TXN000023,ESCALATE,1,100.0,65.0
TXN000024,PAYMENT_LINK,0,0.0,
TXN000025,PAYMENT_LINK,0,0.0,
TXN000026,PAYMENT_LINK,1,100.0,4.0
TXN000027,RETRY,1,100.0,64.0
TXN000028,RETRY,1,100.0,51.0
TXN000029,PAYMENT_LINK,0,0.0,
TXN000030,RETRY,1,100.0,60.0
TXN000031,RETRY,1,100.0,31.0
TXN000032,PAYMENT_LINK,1,100.0,72.0
TXN000033,UPDATE_CARD,1,100.0,58.0
TXN000034,UPDATE_CARD,0,0.0,
TXN000035,RETRY,1,100.0,22.0
TXN000036,PAYMENT_LINK,1,100.0,3.0
TXN000037,UPDATE_CARD,0,0.0,
TXN000038,ESCALATE,1,100.0,38.0
TXN000039,PAYMENT_LINK,0,0.0,
TXN000040,PAYMENT_LINK,1,100.0,48.0
TXN000041,PAYMENT_LINK,0,0.0,
TXN000042,UPDATE_CARD,1,100.0,26.0
TXN000043,RETRY,0,0.0,
TXN000044,UPDATE_CARD,0,0.0,
TXN000045,UPDATE_CARD,1,100.0,38.0
TXN000046,UPDATE_CARD,1,100.0,10.0
TXN000047,REMINDER,1,343.65,42.0
TXN000048,PAYMENT_LINK,0,0.0,
TXN000049,RETRY,1,100.0,26.0
TXN000050,PAYMENT_LINK,1,100.0,12.0
TXN000051,RETRY,1,100.0,49.0
TXN000052,PAYMENT_LINK,1,100.0,14.0
TXN000053,PAYMENT_LINK,1,100.0,46.0
TXN000054,RETRY,1,100.0,35.0
TXN000055,PAYMENT_LINK,0,0.0,
TXN000056,UPDATE_CARD,1,100.0,12.0
TXN000057,PAYMENT_LINK,0,0.0,
TXN000058,RETRY,0,0.0,
TXN000059,UPDATE_CARD,0,0.0,
TXN000060,RETRY,1,100.0,59.0
TXN000061,PAYMENT_LINK,1,100.0,17.0
TXN000062,PAYMENT_LINK,1,100.0,10.0
TXN000063,PAYMENT_LINK,1,100.0,18.0
TXN000064,RETRY,0,0.0,
TXN000065,PAYMENT_LINK,0,0.0,
TXN000066,RETRY,0,0.0,
TXN000067,PAYMENT_LINK,1,100.0,1.0
TXN000068,RETRY,0,0.0,
TXN000069,PAYMENT_LINK,1,100.0,31.0
TXN000070,RETRY,0,0.0,
TXN000071,UPDATE_CARD,1,100.0,66.0
TXN000072,PAYMENT_LINK,0,0.0,
TXN000073,PAYMENT_LINK,1,100.0,53.0
TXN000074,RETRY,0,0.0,
TXN000075,ESCALATE,0,0.0,
TXN000076,PAYMENT_LINK,1,100.0,15.0
